Round: 106  |  Feature: 11  |  Threshold: 0.05325749741468459  |  Round_error: 0.46770597323073326  |  Train_error: 0.04753623188405798  |  Test_error: 0.06521739130434778  |  AUC: 0.9302641802641802
Round: 107  |  Feature: 26  |  Threshold: 0.00015001500150015003  |  Round_error: 0.5256621628644321  |  Train_error: 0.04840579710144932  |  Test_error: 0.06695652173913047  |  AUC: 0.9287979046043563
Round: 108  |  Feature: 54  |  Threshold: 0.005458465728551975  |  Round_error: 0.4646621168232554  |  Train_error: 0.04753623188405798  |  Test_error: 0.06434782608695655  |  AUC: 0.9313325563325563
Round: 109  |  Feature: 41  |  Threshold: 0.004551820728291317  |  Round_error: 0.5324653341545882  |  Train_error: 0.04869565217391303  |  Test_error: 0.06608695652173913  |  AUC: 0.9298662806727322
Round: 110  |  Feature: 14  |  Threshold: 0.005668934240362812  |  Round_error: 0.46787262470860036  |  Train_error: 0.047826086956521685  |  Test_error: 0.06434782608695655  |  AUC: 0.9313325563325563
Round: 111  |  Feature: 42  |  Threshold: 0.03221288515406162  |  Round_error: 0.5330825506760414  |  Train_error: 0.04840579710144932  |  Test_error: 0.06521739130434778  |  AUC: 0.9305994185026443
Round: 112  |  Feature: 48  |  Threshold: 0.02748004561003421  |  Round_error: 0.4673415751106307  |  Train_error: 0.04724637681159416  |  Test_error: 0.06434782608695655  |  AUC: 0.9313325563325563
Round: 113  |  Feature: 54  |  Threshold: 0.0030422151611438947  |  Round_error: 0.5312529016783911  |  Train_error: 0.0481159420289855  |  Test_error: 0.06608695652173913  |  AUC: 0.9298662806727322
Round: 114  |  Feature: 20  |  Threshold: 0.17236723672367238  |  Round_error: 0.4738769854619316  |  Train_error: 0.04637681159420293  |  Test_error: 0.06521739130434778  |  AUC: 0.9302641802641802
Round: 115  |  Feature: 43  |  Threshold: 0.019750000000000004  |  Round_error: 0.5286358766003768  |  Train_error: 0.047826086956521685  |  Test_error: 0.06608695652173913  |  AUC: 0.9298662806727322
Round: 116  |  Feature: 15  |  Threshold: 0.09675  |  Round_error: 0.46721779119961393  |  Train_error: 0.04608695652173911  |  Test_error: 0.06695652173913047  |  AUC: 0.9287979046043563
Round: 117  |  Feature: 44  |  Threshold: 0.027777777777777773  |  Round_error: 0.5314540198871325  |  Train_error: 0.04753623188405798  |  Test_error: 0.06695652173913047  |  AUC: 0.9291331428428202
Round: 118  |  Feature: 54  |  Threshold: 0.00648479346345892  |  Round_error: 0.47248795066243243  |  Train_error: 0.046666666666666634  |  Test_error: 0.06521739130434778  |  AUC: 0.9305994185026443
Round: 119  |  Feature: 26  |  Threshold: 0.00015001500150015003  |  Round_error: 0.532276648624356  |  Train_error: 0.04724637681159416  |  Test_error: 0.06695652173913047  |  AUC: 0.9291331428428202
Round: 120  |  Feature: 16  |  Threshold: 0.01610644257703081  |  Round_error: 0.4687248192855315  |  Train_error: 0.0457971014492754  |  Test_error: 0.06608695652173913  |  AUC: 0.9298662806727322
Round: 121  |  Feature: 20  |  Threshold: 0.10396039603960396  |  Round_error: 0.5306185504354188  |  Train_error: 0.0457971014492754  |  Test_error: 0.0678260869565217  |  AUC: 0.9284000050129082
Round: 122  |  Feature: 1  |  Threshold: 0.026260504201680673  |  Round_error: 0.4755367870628536  |  Train_error: 0.04695652173913045  |  Test_error: 0.0678260869565217  |  AUC: 0.9280647667744442
Round: 123  |  Feature: 34  |  Threshold: 0.00025  |  Round_error: 0.532628704498518  |  Train_error: 0.04608695652173911  |  Test_error: 0.06869565217391305  |  AUC: 0.9276668671829963
Round: 124  |  Feature: 20  |  Threshold: 0.40054005400540055  |  Round_error: 0.4680417580423294  |  Train_error: 0.04695652173913045  |  Test_error: 0.0678260869565217  |  AUC: 0.9280647667744442
Round: 125  |  Feature: 12  |  Threshold: 0.009909909909909911  |  Round_error: 0.5311700734456516  |  Train_error: 0.046666666666666634  |  Test_error: 0.06695652173913047  |  AUC: 0.9291331428428202
Round: 126  |  Feature: 56  |  Threshold: 0.006597222222222221  |  Round_error: 0.4726688533729919  |  Train_error: 0.045217391304347876  |  Test_error: 0.0678260869565217  |  AUC: 0.9287352432513722
Round: 127  |  Feature: 11  |  Threshold: 0.010858324715615306  |  Round_error: 0.5287192797668359  |  Train_error: 0.04434782608695653  |  Test_error: 0.06695652173913047  |  AUC: 0.9294683810812844
Round: 128  |  Feature: 4  |  Threshold: 0.037500000000000006  |  Round_error: 0.47308020153356317  |  Train_error: 0.04434782608695653  |  Test_error: 0.06608695652173913  |  AUC: 0.9302015189111963
Round: 129  |  Feature: 55  |  Threshold: 0.002252703243892671  |  Round_error: 0.5238375628152615  |  Train_error: 0.04492753623188406  |  Test_error: 0.06434782608695655  |  AUC: 0.9316677945710203
Round: 130  |  Feature: 55  |  Threshold: 0.0026531838205847017  |  Round_error: 0.475707823356002  |  Train_error: 0.04434782608695653  |  Test_error: 0.06608695652173913  |  AUC: 0.9302015189111963
Round: 131  |  Feature: 55  |  Threshold: 0.004154985983179816  |  Round_error: 0.5260913952749107  |  Train_error: 0.04492753623188406  |  Test_error: 0.06434782608695655  |  AUC: 0.9316677945710203
Round: 132  |  Feature: 23  |  Threshold: 0.0008  |  Round_error: 0.471951749646523  |  Train_error: 0.04434782608695653  |  Test_error: 0.06521739130434778  |  AUC: 0.9305994185026443
Round: 133  |  Feature: 28  |  Threshold: 0.008753501400560224  |  Round_error: 0.5317184812063108  |  Train_error: 0.045217391304347876  |  Test_error: 0.06521739130434778  |  AUC: 0.9309346567411083
Round: 134  |  Feature: 6  |  Threshold: 0.05708390646492435  |  Round_error: 0.4682039928183168  |  Train_error: 0.044057971014492714  |  Test_error: 0.06521739130434778  |  AUC: 0.9305994185026443
Round: 135  |  Feature: 49  |  Threshold: 0.06275635767022149  |  Round_error: 0.5295368055124804  |  Train_error: 0.04434782608695653  |  Test_error: 0.06434782608695655  |  AUC: 0.9316677945710203
Round: 136  |  Feature: 52  |  Threshold: 0.03423288355822089  |  Round_error: 0.4682515595369879  |  Train_error: 0.04347826086956519  |  Test_error: 0.06521739130434778  |  AUC: 0.9305994185026443
Round: 137  |  Feature: 52  |  Threshold: 0.007579543561552558  |  Round_error: 0.5323560053873098  |  Train_error: 0.04376811594202901  |  Test_error: 0.06434782608695655  |  AUC: 0.9316677945710203
Round: 138  |  Feature: 52  |  Threshold: 0.023071797434616032  |  Round_error: 0.4720060722029665  |  Train_error: 0.04318840579710148  |  Test_error: 0.06521739130434778  |  AUC: 0.9305994185026443
Round: 139  |  Feature: 43  |  Threshold: 0.019750000000000004  |  Round_error: 0.5306544078628678  |  Train_error: 0.04318840579710148  |  Test_error: 0.06608695652173913  |  AUC: 0.9302015189111963
Round: 140  |  Feature: 56  |  Threshold: 0.04741161616161616  |  Round_error: 0.4692942478533487  |  Train_error: 0.04318840579710148  |  Test_error: 0.06521739130434778  |  AUC: 0.9305994185026443
Round: 141  |  Feature: 32  |  Threshold: 0.01842684268426843  |  Round_error: 0.5299685733900461  |  Train_error: 0.04347826086956519  |  Test_error: 0.06521739130434778  |  AUC: 0.9309346567411083
