Training Adaboost with 5% initial random data
Iteration 1:

Round: 1  |  Feature: 52  |  Threshold: 0.004414459436948194  |  Round_error: 0.36769759450171835  |  Train_error: 0.36769759450171824  |  Test_error: 0.1525029103608847  |  AUC: 0.8128204233948313
Round: 2  |  Feature: 24  |  Threshold: 0.005760921747479598  |  Round_error: 0.6241174826972762  |  Train_error: 0.36769759450171824  |  Test_error: 0.1525029103608847  |  AUC: 0.8128204233948313
Round: 3  |  Feature: 6  |  Threshold: 0.002063273727647868  |  Round_error: 0.34929924122596134  |  Train_error: 0.27920962199312716  |  Test_error: 0.07566938300349246  |  AUC: 0.9042798684011671
Round: 4  |  Feature: 45  |  Threshold: 0.0058956916099773245  |  Round_error: 0.6232559207841295  |  Train_error: 0.26632302405498287  |  Test_error: 0.0774155995343423  |  AUC: 0.9020834059916996
Round: 5  |  Feature: 51  |  Threshold: 0.0246628486975799  |  Round_error: 0.37627961371652635  |  Train_error: 0.22079037800687284  |  Test_error: 0.05995343422584398  |  AUC: 0.9256683116520769
Round: 6  |  Feature: 56  |  Threshold: 0.003314393939393939  |  Round_error: 0.3689719952858874  |  Train_error: 0.23883161512027495  |  Test_error: 0.06402793946449359  |  AUC: 0.9200031388414188
Round: 7  |  Feature: 51  |  Threshold: 0.0028326867417944454  |  Round_error: 0.40993722636585467  |  Train_error: 0.22079037800687284  |  Test_error: 0.045983701979045444  |  AUC: 0.94793882746835
Round: 8  |  Feature: 20  |  Threshold: 0.07875787578757876  |  Round_error: 0.40881022592079186  |  Train_error: 0.21134020618556704  |  Test_error: 0.045983701979045444  |  AUC: 0.9442121798672386
Round: 9  |  Feature: 26  |  Threshold: 0.0006000600060006001  |  Round_error: 0.6019548309989635  |  Train_error: 0.218213058419244  |  Test_error: 0.04656577415599539  |  AUC: 0.9494210581383183
Round: 10  |  Feature: 15  |  Threshold: 0.03375  |  Round_error: 0.3775426293692764  |  Train_error: 0.1915807560137457  |  Test_error: 0.04161816065192081  |  AUC: 0.950270434438903
Iteration 14:

Round: 1  |  Feature: 6  |  Threshold: 0.002063273727647868  |  Round_error: 0.37256493506493515  |  Train_error: 0.37256493506493504  |  Test_error: 0.18764845605700708  |  AUC: 0.7484705757430963
Round: 2  |  Feature: 55  |  Threshold: 0.0008510212254705647  |  Round_error: 0.3574520796020735  |  Train_error: 0.3969155844155844  |  Test_error: 0.32511876484560565  |  AUC: 0.7328096202416436
Round: 3  |  Feature: 51  |  Threshold: 0.005295892604224398  |  Round_error: 0.3959102764680589  |  Train_error: 0.30681818181818177  |  Test_error: 0.08076009501187653  |  AUC: 0.9051984497182342
